Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2017-05-02,MFP iOS calorie adjustment,Cardio,10.0,1,,,,,
2017-05-03,MFP iOS calorie adjustment,Cardio,54.0,1,,,,,
2017-05-04,MFP iOS calorie adjustment,Cardio,22.0,1,,,,,
2017-05-05,MFP iOS calorie adjustment,Cardio,80.0,1,,,,,
2017-05-06,MFP iOS calorie adjustment,Cardio,13.0,1,,,,,
2017-05-08,MFP iOS calorie adjustment,Cardio,42.0,1,,,,,
2017-05-09,MFP iOS calorie adjustment,Cardio,52.0,1,,,,,
2017-05-10,MFP iOS calorie adjustment,Cardio,16.0,1,,,,,
2017-05-11,MFP iOS calorie adjustment,Cardio,30.0,1,,,,,
2017-05-12,MFP iOS calorie adjustment,Cardio,25.0,1,,,,,
2017-05-13,MFP iOS calorie adjustment,Cardio,14.0,1,,,,,
2017-05-14,MFP iOS calorie adjustment,Cardio,2.0,1,,,,,
2017-05-15,MFP iOS calorie adjustment,Cardio,49.0,1,,,,,
2017-05-16,MFP iOS calorie adjustment,Cardio,49.0,1,,,,,
2017-05-17,MFP iOS calorie adjustment,Cardio,14.0,1,,,,,
2017-05-18,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-05-19,MFP iOS calorie adjustment,Cardio,46.0,1,,,,,
2017-05-20,MFP iOS calorie adjustment,Cardio,1.0,1,,,,,
2017-05-21,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-05-22,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-05-23,MFP iOS calorie adjustment,Cardio,50.0,1,,,,,
2017-05-24,MFP iOS calorie adjustment,Cardio,44.0,1,,,,,
2017-05-25,MFP iOS calorie adjustment,Cardio,2.0,1,,,,,
2017-05-26,MFP iOS calorie adjustment,Cardio,36.0,1,,,,,
2017-05-27,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2017-05-28,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-05-29,MFP iOS calorie adjustment,Cardio,49.0,1,,,,,
2017-05-30,MFP iOS calorie adjustment,Cardio,36.0,1,,,,,
2017-05-31,MFP iOS calorie adjustment,Cardio,63.0,1,,,,,
2017-06-01,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-06-02,MFP iOS calorie adjustment,Cardio,48.0,1,,,,,
2017-06-03,MFP iOS calorie adjustment,Cardio,1.0,1,,,,,
2017-06-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-06-05,MFP iOS calorie adjustment,Cardio,19.0,1,,,,,
2017-06-06,MFP iOS calorie adjustment,Cardio,46.0,1,,,,,
2017-06-07,MFP iOS calorie adjustment,Cardio,50.0,1,,,,,
2017-06-08,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2017-06-09,MFP iOS calorie adjustment,Cardio,4.0,1,,,,,
2017-06-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-06-11,MFP iOS calorie adjustment,Cardio,3.0,1,,,,,
2017-06-12,MFP iOS calorie adjustment,Cardio,27.0,1,,,,,
2017-06-13,MFP iOS calorie adjustment,Cardio,26.0,1,,,,,
2017-06-14,MFP iOS calorie adjustment,Cardio,1.0,1,,,,,
2017-06-15,MFP iOS calorie adjustment,Cardio,2.0,1,,,,,
2017-06-16,MFP iOS calorie adjustment,Cardio,15.0,1,,,,,
2017-06-17,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-06-18,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-06-19,MFP iOS calorie adjustment,Cardio,54.0,1,,,,,
2017-06-20,MFP iOS calorie adjustment,Cardio,32.0,1,,,,,
2017-06-21,MFP iOS calorie adjustment,Cardio,32.0,1,,,,,
2017-06-22,MFP iOS calorie adjustment,Cardio,39.0,1,,,,,
2017-06-23,MFP iOS calorie adjustment,Cardio,75.0,1,,,,,
2017-06-24,MFP iOS calorie adjustment,Cardio,71.0,1,,,,,
2017-06-25,MFP iOS calorie adjustment,Cardio,12.0,1,,,,,
2017-06-26,MFP iOS calorie adjustment,Cardio,31.0,1,,,,,
2017-06-27,MFP iOS calorie adjustment,Cardio,50.0,1,,,,,
2017-06-28,MFP iOS calorie adjustment,Cardio,20.0,1,,,,,
2017-06-29,MFP iOS calorie adjustment,Cardio,41.0,1,,,,,
2017-11-20,MFP iOS calorie adjustment,Cardio,12.0,1,,,,,
2017-12-02,MFP iOS calorie adjustment,Cardio,9.0,1,,,,,
2017-12-03,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2017-12-04,MFP iOS calorie adjustment,Cardio,70.0,1,,,,,
2017-12-05,MFP iOS calorie adjustment,Cardio,4.0,1,,,,,
2017-12-06,MFP iOS calorie adjustment,Cardio,19.0,1,,,,,
2017-12-07,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2017-12-08,MFP iOS calorie adjustment,Cardio,37.0,1,,,,,
2017-12-09,MFP iOS calorie adjustment,Cardio,36.0,1,,,,,
2017-12-10,MFP iOS calorie adjustment,Cardio,5.0,1,,,,,
2017-12-11,MFP iOS calorie adjustment,Cardio,110.0,1,,,,,
2017-12-12,MFP iOS calorie adjustment,Cardio,62.0,1,,,,,
2017-12-13,MFP iOS calorie adjustment,Cardio,1.0,1,,,,,
2017-12-14,MFP iOS calorie adjustment,Cardio,1.0,1,,,,,
2019-05-04,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2019-05-05,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2019-05-06,MFP iOS calorie adjustment,Cardio,29.0,1,,,,,
2019-05-07,MFP iOS calorie adjustment,Cardio,74.0,1,,,,,
2019-05-08,MFP iOS calorie adjustment,Cardio,174.0,1,,,,,
2019-05-09,MFP iOS calorie adjustment,Cardio,81.0,1,,,,,
2019-05-10,MFP iOS calorie adjustment,Cardio,39.0,1,,,,,
2019-05-11,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,120.0,8,,,,,
2019-05-11,MFP iOS calorie adjustment,Cardio,68.0,1,,,,,
2019-05-12,MFP iOS calorie adjustment,Cardio,27.0,1,,,,,
2019-05-13,MFP iOS calorie adjustment,Cardio,115.0,1,,,,,
2019-05-14,MFP iOS calorie adjustment,Cardio,134.0,1,,,,,
2019-05-15,MFP iOS calorie adjustment,Cardio,123.0,1,,,,,
2019-05-16,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2019-05-17,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2019-05-18,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2019-05-19,MFP iOS calorie adjustment,Cardio,31.0,1,,,,,
2019-05-20,MFP iOS calorie adjustment,Cardio,4.0,1,,,,,
2019-05-21,MFP iOS calorie adjustment,Cardio,95.0,1,,,,,
2019-05-22,MFP iOS calorie adjustment,Cardio,83.0,1,,,,,
2019-05-23,MFP iOS calorie adjustment,Cardio,40.0,1,,,,,
2019-06-13,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2019-06-14,MFP iOS calorie adjustment,Cardio,19.0,1,,,,,
2019-06-15,MFP iOS calorie adjustment,Cardio,30.0,1,,,,,
2019-06-16,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2019-06-17,MFP iOS calorie adjustment,Cardio,8.0,1,,,,,
2019-06-18,MFP iOS calorie adjustment,Cardio,49.0,1,,,,,
2019-06-19,MFP iOS calorie adjustment,Cardio,68.0,1,,,,,
2019-06-20,MFP iOS calorie adjustment,Cardio,33.0,1,,,,,
2019-07-22,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2019-07-23,MFP iOS calorie adjustment,Cardio,47.0,1,,,,,
2019-07-24,MFP iOS calorie adjustment,Cardio,40.0,1,,,,,
2019-07-25,MFP iOS calorie adjustment,Cardio,51.0,1,,,,,
2019-07-26,MFP iOS calorie adjustment,Cardio,66.0,1,,,,,
2019-07-27,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2019-07-28,MFP iOS calorie adjustment,Cardio,3.0,1,,,,,
2019-07-29,MFP iOS calorie adjustment,Cardio,117.0,1,,,,,
2019-07-30,MFP iOS calorie adjustment,Cardio,1.0,1,,,,,
2019-07-31,MFP iOS calorie adjustment,Cardio,21.0,1,,,,,
2019-08-27,MFP iOS calorie adjustment,Cardio,87.0,1,,,,,
2019-08-28,MFP iOS calorie adjustment,Cardio,57.0,1,,,,,
2019-08-29,MFP iOS calorie adjustment,Cardio,0.0,1,,,,,
2019-08-30,MFP iOS calorie adjustment,Cardio,80.0,1,,,,,
2019-08-31,MFP iOS calorie adjustment,Cardio,70.0,1,,,,,
2019-09-01,MFP iOS calorie adjustment,Cardio,36.0,1,,,,,
2019-09-02,MFP iOS calorie adjustment,Cardio,-45.0,1,,,,,
2019-09-02,"Walking, 3.5 mph, brisk pace",Cardio,139.0,20,,,,,
2019-09-03,MFP iOS calorie adjustment,Cardio,-1020.0,1,,,,,
2019-09-03,"Walking, 3.5 mph, brisk pace",Cardio,134.0,20,,,,,
2019-09-04,MFP iOS calorie adjustment,Cardio,78.0,1,,,,,
2019-09-05,MFP iOS calorie adjustment,Cardio,85.0,1,,,,,
2019-09-06,MFP iOS calorie adjustment,Cardio,34.0,1,,,,,
2019-09-07,MFP iOS calorie adjustment,Cardio,42.0,1,,,,,
2019-09-08,MFP iOS calorie adjustment,Cardio,1.0,1,,,,,
2019-09-09,MFP iOS calorie adjustment,Cardio,96.0,1,,,,,
2019-09-10,MFP iOS calorie adjustment,Cardio,156.0,1,,,,,
2019-09-11,MFP iOS calorie adjustment,Cardio,77.0,1,,,,,
2021-03-31,MFP iOS calorie adjustment,Cardio,0.0,1,,,,27,
2022-07-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,242,
2022-07-25,MFP iOS calorie adjustment,Cardio,11.0,1,,,,1798,
2022-07-26,MFP iOS calorie adjustment,Cardio,85.0,1,,,,4302,
2022-07-27,MFP iOS calorie adjustment,Cardio,50.0,1,,,,3412,
2022-07-28,MFP iOS calorie adjustment,Cardio,14.0,1,,,,930,
2022-07-29,MFP iOS calorie adjustment,Cardio,5.0,1,,,,648,
2022-07-30,MFP iOS calorie adjustment,Cardio,53.0,1,,,,3252,
2022-07-31,MFP iOS calorie adjustment,Cardio,-24.0,1,,,,1084,
2022-07-31,"Swimming, leisurely, general",Cardio,158.7,15,,,,,
2022-08-01,MFP iOS calorie adjustment,Cardio,122.0,1,,,,5910,
2022-08-02,Gym Workout,Cardio,634.0,60,,,,,
2022-08-02,MFP iOS calorie adjustment,Cardio,-100.0,1,,,,2461,
2022-08-03,"Aerobics, low impact",Cardio,115.0,12,,,,,
2022-08-03,Gym Workout,Cardio,634.7,60,,,,,
2022-08-03,Gym Workout,Cardio,511.0,46,,,,,
2022-08-03,MFP iOS calorie adjustment,Cardio,-242.0,1,,,,1419,
2022-08-04,MFP iOS calorie adjustment,Cardio,39.0,1,,,,2505,
2022-08-05,MFP iOS calorie adjustment,Cardio,115.0,1,,,,4290,
2022-08-06,MFP iOS calorie adjustment,Cardio,88.0,1,,,,4274,
2022-08-07,MFP iOS calorie adjustment,Cardio,29.0,1,,,,1576,
2022-08-08,Gym Workout,Cardio,576.0,50,,,,,
2022-08-08,MFP iOS calorie adjustment,Cardio,-4.0,1,,,,4059,
2022-08-09,Gym Workout,Cardio,577.0,50,,,,,
2022-08-09,MFP iOS calorie adjustment,Cardio,-75.0,1,,,,1989,
2022-08-10,Gym Workout,Cardio,519.3,45,,,,,
2022-08-10,MFP iOS calorie adjustment,Cardio,-3.0,1,,,,4256,
2022-08-11,MFP iOS calorie adjustment,Cardio,19.0,1,,,,1091,
2022-08-12,Gym Workout,Cardio,515.4,45,,,,,
2022-08-12,MFP iOS calorie adjustment,Cardio,58.0,1,,,,6666,
2022-08-13,"Aerobics, low impact",Cardio,143.0,15,,,,,
2022-08-13,MFP iOS calorie adjustment,Cardio,-89.0,1,,,,2673,
2022-08-13,"Swimming, leisurely, general",Cardio,516.0,45,,,,,
2022-08-14,MFP iOS calorie adjustment,Cardio,28.0,1,,,,1814,
2022-08-15,Gym Workout,Cardio,497.0,41,,,,,
2022-08-15,MFP iOS calorie adjustment,Cardio,-74.0,1,,,,1301,
2022-08-16,Gym Workout,Cardio,579.0,50,,,,,
2022-08-16,MFP iOS calorie adjustment,Cardio,-93.0,1,,,,1326,
2022-08-17,MFP iOS calorie adjustment,Cardio,74.0,1,,,,3026,
2022-08-18,Gym Workout,Cardio,578.3,50,,,,,
2022-08-18,MFP iOS calorie adjustment,Cardio,-94.0,1,,,,1334,
2022-08-19,Gym Workout,Cardio,579.0,50,,,,,
2022-08-19,MFP iOS calorie adjustment,Cardio,-82.0,1,,,,1547,
2022-08-20,MFP iOS calorie adjustment,Cardio,64.0,1,,,,3083,
2022-08-21,MFP iOS calorie adjustment,Cardio,12.0,1,,,,838,
2022-08-22,Gym Workout,Cardio,589.0,50,,,,,
2022-08-22,MFP iOS calorie adjustment,Cardio,-37.0,1,,,,4082,
2022-08-23,Gym Workout,Cardio,589.2,50,,,,,
2022-08-23,MFP iOS calorie adjustment,Cardio,-57.0,1,,,,3246,
2022-08-24,MFP iOS calorie adjustment,Cardio,105.0,1,,,,3979,
2022-08-25,Gym Workout,Cardio,624.0,50,,,,,
2022-08-25,MFP iOS calorie adjustment,Cardio,-77.0,1,,,,1885,
2022-08-26,MFP iOS calorie adjustment,Cardio,16.0,1,,,,952,
2022-08-27,MFP iOS calorie adjustment,Cardio,73.0,1,,,,3854,
2022-08-28,MFP iOS calorie adjustment,Cardio,61.0,1,,,,2716,
2022-08-29,Gym Workout,Cardio,705.2,60,,,,,
2022-08-29,MFP iOS calorie adjustment,Cardio,-80.0,1,,,,3469,
2022-08-30,Gym Workout,Cardio,587.0,50,,,,,
2022-08-30,MFP iOS calorie adjustment,Cardio,-68.0,1,,,,1935,
2022-08-31,Gym Workout,Cardio,234.0,20,,,,,
2022-08-31,MFP iOS calorie adjustment,Cardio,-15.0,1,,,,1494,
2022-09-01,"Canoeing, rowing, >6 mph, vigorous effort",Cardio,92.0,4,,,,,
2022-09-01,Gym Workout,Cardio,694.0,60,,,,,
2022-09-01,MFP iOS calorie adjustment,Cardio,-103.0,1,,,,1621,
2022-09-02,Gym Workout,Cardio,647.0,53,,,,,
2022-09-02,MFP iOS calorie adjustment,Cardio,-50.0,1,,,,3110,
2022-09-03,MFP iOS calorie adjustment,Cardio,131.0,1,,,,5275,
2022-09-04,MFP iOS calorie adjustment,Cardio,21.0,1,,,,945,
2022-09-05,MFP iOS calorie adjustment,Cardio,93.0,1,,,,3567,
2022-09-06,Gym Workout,Cardio,831.0,67,,,,,
2022-09-06,MFP iOS calorie adjustment,Cardio,-102.0,1,,,,2161,
2022-09-07,MFP iOS calorie adjustment,Cardio,31.0,1,,,,1663,
2022-09-08,Gym Workout,Cardio,871.0,75,,,,,
2022-09-08,MFP iOS calorie adjustment,Cardio,-134.0,1,,,,1092,
2022-09-09,Gym Workout,Cardio,714.0,58,,,,,
2022-09-09,MFP iOS calorie adjustment,Cardio,-99.0,1,,,,1137,
2022-09-10,MFP iOS calorie adjustment,Cardio,2.0,1,,,,171,
2022-09-11,MFP iOS calorie adjustment,Cardio,4.0,1,,,,321,
2022-09-12,MFP iOS calorie adjustment,Cardio,26.0,1,,,,1515,
2022-09-13,Gym Workout,Cardio,581.0,50,,,,,
2022-09-13,MFP iOS calorie adjustment,Cardio,-16.0,1,,,,3786,
2022-09-14,MFP iOS calorie adjustment,Cardio,14.0,1,,,,1046,
2022-09-15,Gym Workout,Cardio,611.0,50,,,,,
2022-09-15,MFP iOS calorie adjustment,Cardio,-69.0,1,,,,1592,
2022-09-16,MFP iOS calorie adjustment,Cardio,90.0,1,,,,3403,
2022-09-17,MFP iOS calorie adjustment,Cardio,58.0,1,,,,3146,
2022-09-18,MFP iOS calorie adjustment,Cardio,9.0,1,,,,670,
2022-09-19,MFP iOS calorie adjustment,Cardio,8.0,1,,,,528,
2022-09-20,Gym Workout,Cardio,625.0,51,,,,,
2022-09-20,MFP iOS calorie adjustment,Cardio,-75.0,1,,,,1613,
2022-09-21,MFP iOS calorie adjustment,Cardio,16.0,1,,,,897,
2022-09-22,MFP iOS calorie adjustment,Cardio,5.0,1,,,,614,
2022-09-23,MFP iOS calorie adjustment,Cardio,42.0,1,,,,3781,
2022-09-24,MFP iOS calorie adjustment,Cardio,0.0,1,,,,96,
2022-09-25,MFP iOS calorie adjustment,Cardio,12.0,1,,,,848,
2022-09-26,MFP iOS calorie adjustment,Cardio,9.0,1,,,,730,
2022-09-27,MFP iOS calorie adjustment,Cardio,121.0,1,,,,5276,
2022-09-28,MFP iOS calorie adjustment,Cardio,12.0,1,,,,634,
2022-09-29,MFP iOS calorie adjustment,Cardio,24.0,1,,,,1989,
2022-09-30,MFP iOS calorie adjustment,Cardio,4.0,1,,,,316,
2022-10-01,MFP iOS calorie adjustment,Cardio,13.0,1,,,,917,
2022-10-02,MFP iOS calorie adjustment,Cardio,29.0,1,,,,1529,
2022-10-03,MFP iOS calorie adjustment,Cardio,26.0,1,,,,1466,
2022-10-04,Gym Workout,Cardio,430.0,35,,,,,
2022-10-04,MFP iOS calorie adjustment,Cardio,-28.0,1,,,,1805,
2022-10-05,MFP iOS calorie adjustment,Cardio,8.0,1,,,,676,
2022-10-06,Gym Workout,Cardio,581.0,50,,,,,
2022-10-06,MFP iOS calorie adjustment,Cardio,-90.0,1,,,,925,
2022-10-07,MFP iOS calorie adjustment,Cardio,135.0,1,,,,6828,
2022-10-08,MFP iOS calorie adjustment,Cardio,333.0,1,,,,14151,
2022-10-09,MFP iOS calorie adjustment,Cardio,434.0,1,,,,16508,
2022-10-10,MFP iOS calorie adjustment,Cardio,59.0,1,,,,2324,
2022-10-11,MFP iOS calorie adjustment,Cardio,28.0,1,,,,1904,
2022-10-12,MFP iOS calorie adjustment,Cardio,29.0,1,,,,1619,
2022-10-13,Gym Workout,Cardio,581.7,50,,,,,
2022-10-13,MFP iOS calorie adjustment,Cardio,-16.0,1,,,,3597,
2022-10-14,MFP iOS calorie adjustment,Cardio,21.0,1,,,,1432,
2022-10-15,MFP iOS calorie adjustment,Cardio,3.0,1,,,,571,
2022-10-16,MFP iOS calorie adjustment,Cardio,8.0,1,,,,578,
2022-10-17,Gym Workout,Cardio,443.0,36,,,,,
2022-10-17,MFP iOS calorie adjustment,Cardio,-2.0,1,,,,3014,
2022-10-18,MFP iOS calorie adjustment,Cardio,8.0,1,,,,769,
2022-10-19,MFP iOS calorie adjustment,Cardio,40.0,1,,,,2207,
2022-10-20,Gym Workout,Cardio,581.7,50,,,,,
2022-10-20,MFP iOS calorie adjustment,Cardio,-70.0,1,,,,2240,
2022-10-21,Gym Workout,Cardio,581.7,50,,,,,
2022-10-21,MFP iOS calorie adjustment,Cardio,-78.0,1,,,,1398,
2022-10-22,MFP iOS calorie adjustment,Cardio,43.0,1,,,,2192,
2022-10-23,MFP iOS calorie adjustment,Cardio,14.0,1,,,,1205,
2022-10-24,Gym Workout,Cardio,581.7,50,,,,,
2022-10-24,MFP iOS calorie adjustment,Cardio,-47.0,1,,,,2980,
2022-10-25,Gym Workout,Cardio,581.7,50,,,,,
2022-10-25,MFP iOS calorie adjustment,Cardio,-59.0,1,,,,2199,
2022-10-26,MFP iOS calorie adjustment,Cardio,41.0,1,,,,2002,
2022-10-27,Gym Workout,Cardio,581.7,50,,,,,
2022-10-27,MFP iOS calorie adjustment,Cardio,-80.0,1,,,,1029,
2022-10-28,MFP iOS calorie adjustment,Cardio,67.0,1,,,,2909,
2022-10-29,MFP iOS calorie adjustment,Cardio,24.0,1,,,,1436,
2022-10-30,MFP iOS calorie adjustment,Cardio,1.0,1,,,,132,
2022-10-31,Gym Workout,Cardio,581.0,50,,,,,
2022-10-31,MFP iOS calorie adjustment,Cardio,-83.0,1,,,,1138,
2022-11-01,MFP iOS calorie adjustment,Cardio,5.0,1,,,,393,
2022-11-07,MFP iOS calorie adjustment,Cardio,23.0,1,,,,1598,
2022-11-08,MFP iOS calorie adjustment,Cardio,5.0,1,,,,1387,
2022-11-09,MFP iOS calorie adjustment,Cardio,0.0,1,,,,684,
2022-11-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,352,
2022-11-11,MFP iOS calorie adjustment,Cardio,4.0,1,,,,808,
2022-11-12,MFP iOS calorie adjustment,Cardio,1.0,1,,,,87,
2022-11-13,MFP iOS calorie adjustment,Cardio,99.0,1,,,,3920,
2022-11-14,MFP iOS calorie adjustment,Cardio,16.0,1,,,,1284,
2022-12-09,MFP iOS calorie adjustment,Cardio,9.0,1,,,,1749,
2022-12-11,MFP iOS calorie adjustment,Cardio,0.0,1,,,,622,
2022-12-12,MFP iOS calorie adjustment,Cardio,5.0,1,,,,1358,
2022-12-13,MFP iOS calorie adjustment,Cardio,15.0,1,,,,1416,
2022-12-14,MFP iOS calorie adjustment,Cardio,1.0,1,,,,225,
2022-12-15,MFP iOS calorie adjustment,Cardio,14.0,1,,,,691,
2022-12-16,MFP iOS calorie adjustment,Cardio,10.0,1,,,,1384,
2022-12-17,MFP iOS calorie adjustment,Cardio,19.0,1,,,,2700,
2022-12-18,MFP iOS calorie adjustment,Cardio,83.0,1,,,,4621,
2022-12-19,MFP iOS calorie adjustment,Cardio,4.0,1,,,,336,
2022-12-20,MFP iOS calorie adjustment,Cardio,9.0,1,,,,1093,
2022-12-21,MFP iOS calorie adjustment,Cardio,14.0,1,,,,892,
2022-12-22,MFP iOS calorie adjustment,Cardio,51.0,1,,,,2272,
2023-01-08,MFP iOS calorie adjustment,Cardio,0.0,1,,,,54,
2023-01-09,MFP iOS calorie adjustment,Cardio,5.0,1,,,,926,
2023-01-10,MFP iOS calorie adjustment,Cardio,0.0,1,,,,1829,
2023-01-11,MFP iOS calorie adjustment,Cardio,4.0,1,,,,1211,
2023-01-12,MFP iOS calorie adjustment,Cardio,6.0,1,,,,1452,
2023-01-13,MFP iOS calorie adjustment,Cardio,16.0,1,,,,1357,
2023-01-14,MFP iOS calorie adjustment,Cardio,8.0,1,,,,436,
2023-01-15,MFP iOS calorie adjustment,Cardio,0.0,1,,,,94,
2023-01-16,Apple Health App Workout,Cardio,706.6,76,,,,,
2023-01-16,MFP iOS calorie adjustment,Cardio,-131.0,1,,,,1399,
2023-03-14,MFP iOS calorie adjustment,Cardio,0.0,1,,,,315,
2023-03-15,MFP iOS calorie adjustment,Cardio,0.0,1,,,,400,
2023-03-16,MFP iOS calorie adjustment,Cardio,11.0,1,,,,1307,
2023-03-17,MFP iOS calorie adjustment,Cardio,23.0,1,,,,2103,
2023-03-18,MFP iOS calorie adjustment,Cardio,26.0,1,,,,1350,
2023-03-19,MFP iOS calorie adjustment,Cardio,53.0,1,,,,3180,
2023-03-20,MFP iOS calorie adjustment,Cardio,21.0,1,,,,1286,
2023-03-21,MFP iOS calorie adjustment,Cardio,130.0,1,,,,5218,
